data,casi,casi_media7gg
2020-09-19,16,17.285714285714285
2020-09-20,20,18.714285714285715
2020-09-21,16,19.571428571428573
2020-09-22,13,20.285714285714285
2020-09-23,26,20.714285714285715
2020-09-24,22,21.428571428571427
2020-09-25,29,22.142857142857142
2020-09-26,19,23.714285714285715
2020-09-27,25,22.714285714285715
2020-09-28,21,23.285714285714285
2020-09-29,24,23.428571428571427
2020-09-30,19,23.285714285714285
2020-10-01,26,22.571428571428573
2020-10-02,30,25.0
2020-10-03,18,25.0
2020-10-04,20,27.0
2020-10-05,38,28.857142857142858
2020-10-06,24,31.0
2020-10-07,33,35.857142857142854
2020-10-08,39,41.0
2020-10-09,45,46.142857142857146
2020-10-10,52,52.714285714285715
2020-10-11,56,58.42857142857143
2020-10-12,74,63.142857142857146
2020-10-13,70,71.57142857142857
2020-10-14,73,76.71428571428571
2020-10-15,72,83.71428571428571
2020-10-16,104,88.28571428571429
2020-10-17,88,98.85714285714286
2020-10-18,105,109.42857142857143
2020-10-19,106,121.85714285714286
2020-10-20,144,132.57142857142858
2020-10-21,147,149.85714285714286
2020-10-22,159,162.85714285714286
2020-10-23,179,183.28571428571428
2020-10-24,209,196.42857142857142
2020-10-25,196,219.71428571428572
2020-10-26,249,239.71428571428572
2020-10-27,236,265.85714285714283
2020-10-28,310,289.7142857142857
2020-10-29,299,314.0
2020-10-30,362,342.85714285714283
2020-10-31,376,371.85714285714283
2020-11-01,366,394.42857142857144
2020-11-02,451,430.85714285714283
2020-11-03,439,454.14285714285717
2020-11-04,468,473.14285714285717
2020-11-05,554,503.0
2020-11-06,525,526.4285714285714
2020-11-07,509,559.1428571428571
2020-11-08,575,590.5714285714286
2020-11-09,615,615.5714285714286
2020-11-10,668,636.4285714285714
2020-11-11,688,664.7142857142857
2020-11-12,729,686.1428571428571
2020-11-13,671,709.4285714285714
2020-11-14,707,728.0
2020-11-15,725,745.4285714285714
2020-11-16,778,758.8571428571429
2020-11-17,798,775.5714285714286
2020-11-18,810,773.4285714285714
2020-11-19,823,775.5714285714286
2020-11-20,788,774.2857142857143
2020-11-21,692,772.0
2020-11-22,740,776.2857142857143
2020-11-23,769,765.7142857142857
2020-11-24,782,765.0
2020-11-25,840,771.4285714285714
2020-11-26,749,764.0
2020-11-27,783,754.4285714285714
2020-11-28,737,738.0
2020-11-29,688,721.8571428571429
2020-11-30,702,711.4285714285714
2020-12-01,667,700.7142857142857
2020-12-02,727,688.2857142857143
2020-12-03,676,684.0
2020-12-04,708,677.2857142857143
2020-12-05,650,669.0
2020-12-06,658,665.0
2020-12-07,655,659.0
2020-12-08,609,646.4285714285714
2020-12-09,699,641.0
2020-12-10,634,629.5714285714286
2020-12-11,620,619.2857142857143
2020-12-12,612,618.8571428571429
2020-12-13,578,612.2857142857143
2020-12-14,583,607.4285714285714
2020-12-15,606,598.2857142857143
2020-12-16,653,585.7142857142857
2020-12-17,600,576.0
2020-12-18,556,567.1428571428571
2020-12-19,524,553.8571428571429
2020-12-20,510,533.7142857142857
2020-12-21,521,518.7142857142857
2020-12-22,513,500.85714285714283
2020-12-23,512,488.85714285714283
2020-12-24,495,476.85714285714283
2020-12-25,431,476.0
2020-12-26,440,467.85714285714283
2020-12-27,426,463.85714285714283
2020-12-28,515,456.85714285714283
2020-12-29,456,460.85714285714283
2020-12-30,484,460.42857142857144
2020-12-31,446,460.0
2021-01-01,459,459.14285714285717
2021-01-02,437,466.2857142857143
2021-01-03,423,465.2857142857143
2021-01-04,509,468.14285714285717
2021-01-05,506,466.57142857142856
2021-01-06,477,467.2857142857143
2021-01-07,466,471.0
2021-01-08,448,466.14285714285717
2021-01-09,442,461.0
2021-01-10,449,457.85714285714283
2021-01-11,475,452.42857142857144
2021-01-12,470,461.14285714285717
2021-01-13,455,462.2857142857143
2021-01-14,428,462.0
2021-01-15,509,462.2857142857143
2021-01-16,450,462.85714285714283
2021-01-17,447,460.2857142857143
2021-01-18,477,459.57142857142856
2021-01-19,474,448.2857142857143
2021-01-20,437,442.57142857142856
2021-01-21,423,437.85714285714283
2021-01-22,430,426.42857142857144
2021-01-23,410,422.14285714285717
2021-01-24,414,421.7142857142857
2021-01-25,397,417.7142857142857
